identifier,identifier 2,filename,repository,repository_location,collection_identifier,collection,title,title_initial_article,name,item_type,internet_media_type,digital_origin,language,language_of_cataloging,form,genre,extent,date_text,date_single/start,date_range_end,date_qualifier,public_note,place_of_origin,shelf_locator,subject_local,subject_topical 1,subject_topical 2,subject_name 1,subject_name 2,subject_geographic 1,subject_geographic 2,project_title,project_URL,object_in_context,file_thumbnail_URL,rights,record_source,record_creation_date,cd_phase
cDanielTenn:44,0012_003299_001468_0001,daniel_Tennessee_0053.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",You're extinct...it's just a question of when,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,1995,1995,,,,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Tennessee,Tennessee,,,Tennessee Public Service Commission | http://id.loc.gov/authorities/names/n85150427,Tennessee. General Assembly | http://id.loc.gov/authorities/names/n80044783,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielTenn%3A44,http://digital.lib.utk.edu/collections/islandora/object/cDanielTenn%3A44/datastream/TN/view/You%27re%20extinct%C2%85it%27s%20just%20a%20question%20of%20when.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielTenn:34,0012_003299_001458_0001,daniel_Tennessee_0042.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","If you knew how much political ads cost, you wouldn't call them ""cheap shots""",,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,1994,1994,,,,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Tennessee,Tennessee,,,"Bredesen, Phil","Sundquist, Don, 1936- | http://id.loc.gov/authorities/names/no97068780",,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielTenn%3A34,http://digital.lib.utk.edu/collections/islandora/object/cDanielTenn%3A34/datastream/TN/view/If%20you%20knew%20how%20much%20political%20ads%20cost%2C%20you%20wouldn%27t%20call%20them%20%22cheap%20shots%22.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielNatPol:57,0012_003299_000831_0001,daniel_NationalPolitics_0063.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","Hillary's moving out.  Well, it's about time.",,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,National Politics,National Politics,,,"Clinton, Hillary Rodham | http://id.loc.gov/authorities/names/n93010903",United States. Congress. Senate | http://id.loc.gov/authorities/names/n79022161,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielNatPol%3A57,http://digital.lib.utk.edu/collections/islandora/object/cDanielNatPol%3A57/datastream/TN/view/Hillary%27s%20moving%20out.%20%20Well%2C%20it%27s%20about%20time..jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielNatPol:263,0012_003299_001037_0001,daniel_NationalPolitics_0276.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","(Ted Kennedy) thinks Nixon is doing a good job, Humphrey  has no comment, April Fool!",,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,National Politics,National Politics,,,"Fulbright, William","Agnew, Spiro T., 1918-1996 | http://id.loc.gov/authorities/names/n79081960",,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielNatPol%3A263,http://digital.lib.utk.edu/collections/islandora/object/cDanielNatPol%3A263/datastream/TN/view/%28Ted%20Kennedy%29%20thinks%20Nixon%20is%20doing%20a%20good%20job%2C%20Humphrey%20%20has%20no%20comment%2C%20April%20Fool%21.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielCauses:57,0012_003299_000252_0001,daniel_Causes_0052.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",That's for waking me up!,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Causes,Causes,Holidays | http://id.loc.gov/authorities/subjects/sh85061453,Groundhog Day | http://id.loc.gov/authorities/subjects/sh85057467,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielCauses%3A57,http://digital.lib.utk.edu/collections/islandora/object/cDanielCauses%3A57/datastream/TN/view/That%27s%20for%20waking%20me%20up%21.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielTVA:42,0012_003299_001272_0001,daniel_TVA_0042.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",34 pounds of enriched uranium,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,TVA,TVA,Radioactive waste disposal | http://id.loc.gov/authorities/subjects/sh85110649,,Oak Ridge National Laboratory | http://id.loc.gov/authorities/names/n81018718,Oak Ridge Y-12 Plant | http://id.loc.gov/authorities/names/n79087644,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielTVA%3A42,http://digital.lib.utk.edu/collections/islandora/object/cDanielTVA%3A42/datastream/TN/view/34%20pounds%20of%20enriched%20uranium.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielSports:74,0012_003299_001204_0001,daniel_Sports_0076.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",I thought they were Mark McGwire historical markers.,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,1998,1998,,,,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Sports,Sports,Baseball--United States | http://id.loc.gov/authorities/subjects/sh91000830,,"McGwire, Mark, 1963- | http://id.loc.gov/authorities/names/no97064628",,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielSports%3A74,http://digital.lib.utk.edu/collections/islandora/object/cDanielSports%3A74/datastream/TN/view/I%20thought%20they%20were%20Mark%20McGwire%20historical%20markers..jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielCauses:110,0012_003299_000305_0001,daniel_Causes_0108.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Kiss the 8 cent stamp good bye,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Causes,Causes,Post office buildings | http://id.loc.gov/authorities/subjects/sh85105476,Inflation (Finance) | http://id.loc.gov/authorities/subjects/sh85066112,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielCauses%3A110,http://digital.lib.utk.edu/collections/islandora/object/cDanielCauses%3A110/datastream/TN/view/Kiss%20the%208%3F%20stamp%20good%20bye.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielKnoxvl:46,0012_003299_000618_0001,daniel_Knoxville_0048.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",We're having this cold weather because Knox county commission broke the sunshine law.,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Knoxville,Knoxville,Corruption | http://id.loc.gov/authorities/subjects/sh94002193,,Knox County (Tenn.). County Commission | http://id.loc.gov/authorities/names/n2011056950,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielKnoxvl%3A46,http://digital.lib.utk.edu/collections/islandora/object/cDanielKnoxvl%3A46/datastream/TN/view/We%27re%20having%20this%20cold%20weather%20because%20Knox%20county%20commission%20broke%20the%20sunshine%20law..jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
cDanielTaxes:2,0012_003299_001305_0001,daniel_Taxes-Economy_0002.jp2,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Prison sentence,,"Daniel, Charles R. (Charlie), Jr., 1930- | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre | Type: personal",still image,image/jp2,reformatted,eng,eng,drawings (visual works) | http://vocab.getty.edu/aat/300033973,Editorial cartoons | http://id.loc.gov/authorities/subjects/sh85040974,1 digital image; 1 still image,[1951-2012?],1951,2012,inferred,Dates inferred from the creation dates associated with the archival collection.,Knoxville (Tenn.) | URI: http://id.loc.gov/authorities/names/n79109786,Taxes & Economy,Taxes & Economy,Income tax | http://id.loc.gov/authorities/subjects/sh85064772,,United States. Internal Revenue Service | http://id.loc.gov/authorities/names/n79063888,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,http://digital.lib.utk.edu/collections/islandora/object/cDanielTaxes%3A2,http://digital.lib.utk.edu/collections/islandora/object/cDanielTaxes%3A2/datastream/TN/view/Prison%20sentence.jpg,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Libraries",2014-11-20T20:56:22Z,Phase 1
